==============================================================================
NIFTY 100 - SPRINT 2 DAY 13 RATIO EDGE CASE LOG
==============================================================================

FINANCIALS CARVE-OUT
------------------------------------------------------------------------------
Financials companies found: 23
Expected specification count: 19
Actual database count: 23
High leverage flags on Financials rows: 0
STATUS: PASS - Financials leverage warning suppression is working.

Financials companies:
  - AXISBANK
  - BAJAJFINSV
  - BAJAJHLDNG
  - BAJFINANCE
  - BANKBARODA
  - CANBK
  - CHOLAFIN
  - HDFCBANK
  - HDFCLIFE
  - ICICIBANK
  - ICICIGI
  - ICICIPRULI
  - INDUSINDBK
  - IRFC
  - JIOFIN
  - KOTAKBANK
  - LICI
  - PFC
  - PNB
  - RECLTD
  - SBILIFE
  - SBIN
  - SHRIRAMFIN

ROCE SOURCE COMPARISON
------------------------------------------------------------------------------
Anomaly threshold: absolute difference > 5 percentage points
ROCE anomalies found: 833

BAJAJ-AUTO | 2024 | calculated=14.4005 | source=33.5000 | difference=19.0995 | category=formula discrepancy
BAJAJ-AUTO | 2024 | calculated=14.4005 | source=33.5000 | difference=19.0995 | category=formula discrepancy
BAJAJFINSV | 2014 | calculated=13.6472 | source=21.1400 | difference=7.4928 | category=formula discrepancy
BAJAJFINSV | 2015 | calculated=10.5158 | source=21.1400 | difference=10.6242 | category=formula discrepancy
BAJAJFINSV | 2016 | calculated=7.9197 | source=21.1400 | difference=13.2203 | category=formula discrepancy
BAJAJFINSV | 2017 | calculated=6.1040 | source=21.1400 | difference=15.0360 | category=formula discrepancy
BAJAJFINSV | 2018 | calculated=4.5638 | source=21.1400 | difference=16.5762 | category=formula discrepancy
BAJAJFINSV | 2019 | calculated=3.1848 | source=21.1400 | difference=17.9552 | category=formula discrepancy
BAJAJFINSV | 2020 | calculated=2.4812 | source=21.1400 | difference=18.6588 | category=formula discrepancy
BAJAJFINSV | 2021 | calculated=2.3939 | source=21.1400 | difference=18.7461 | category=formula discrepancy
BAJAJFINSV | 2022 | calculated=1.9526 | source=21.1400 | difference=19.1874 | category=formula discrepancy
BAJAJFINSV | 2023 | calculated=1.5205 | source=21.1400 | difference=19.6195 | category=formula discrepancy
BAJAJFINSV | 2024 | calculated=1.1261 | source=21.1400 | difference=20.0139 | category=formula discrepancy
BAJAJHLDNG | 2013 | calculated=3.1416 | source=13.1000 | difference=9.9584 | category=formula discrepancy
BAJAJHLDNG | 2014 | calculated=2.7086 | source=13.1000 | difference=10.3914 | category=formula discrepancy
BAJAJHLDNG | 2015 | calculated=2.4266 | source=13.1000 | difference=10.6734 | category=formula discrepancy
BAJAJHLDNG | 2016 | calculated=2.1252 | source=13.1000 | difference=10.9748 | category=formula discrepancy
BAJAJHLDNG | 2017 | calculated=1.8240 | source=13.1000 | difference=11.2760 | category=formula discrepancy
BAJAJHLDNG | 2018 | calculated=1.2896 | source=13.1000 | difference=11.8104 | category=formula discrepancy
BAJAJHLDNG | 2019 | calculated=1.2058 | source=13.1000 | difference=11.8942 | category=formula discrepancy
BAJAJHLDNG | 2020 | calculated=1.1636 | source=13.1000 | difference=11.9364 | category=formula discrepancy
BAJAJHLDNG | 2021 | calculated=0.8712 | source=13.1000 | difference=12.2288 | category=formula discrepancy
BAJAJHLDNG | 2022 | calculated=0.7566 | source=13.1000 | difference=12.3434 | category=formula discrepancy
BAJAJHLDNG | 2023 | calculated=0.7340 | source=13.1000 | difference=12.3660 | category=formula discrepancy
BAJAJHLDNG | 2024 | calculated=0.5984 | source=13.1000 | difference=12.5016 | category=formula discrepancy
BAJFINANCE | 2015 | calculated=5.6493 | source=11.9000 | difference=6.2507 | category=formula discrepancy
BAJFINANCE | 2016 | calculated=3.9976 | source=11.9000 | difference=7.9024 | category=formula discrepancy
BAJFINANCE | 2017 | calculated=3.0195 | source=11.9000 | difference=8.8805 | category=formula discrepancy
BAJFINANCE | 2018 | calculated=2.1564 | source=11.9000 | difference=9.7436 | category=formula discrepancy
BAJFINANCE | 2019 | calculated=1.4651 | source=11.9000 | difference=10.4349 | category=formula discrepancy
BAJFINANCE | 2020 | calculated=1.0960 | source=11.9000 | difference=10.8040 | category=formula discrepancy
BAJFINANCE | 2021 | calculated=1.0543 | source=11.9000 | difference=10.8457 | category=formula discrepancy
BAJFINANCE | 2022 | calculated=0.8505 | source=11.9000 | difference=11.0495 | category=formula discrepancy
BAJFINANCE | 2023 | calculated=0.6556 | source=11.9000 | difference=11.2444 | category=formula discrepancy
BAJFINANCE | 2024 | calculated=0.4802 | source=11.9000 | difference=11.4198 | category=formula discrepancy
BANKBARODA | 2020 | calculated=0.9565 | source=6.3300 | difference=5.3735 | category=formula discrepancy
BANKBARODA | 2021 | calculated=0.9528 | source=6.3300 | difference=5.3772 | category=formula discrepancy
BANKBARODA | 2022 | calculated=0.8576 | source=6.3300 | difference=5.4724 | category=formula discrepancy
BANKBARODA | 2023 | calculated=0.7566 | source=6.3300 | difference=5.5734 | category=formula discrepancy
BANKBARODA | 2024 | calculated=0.6961 | source=6.3300 | difference=5.6339 | category=formula discrepancy
BEL | 2013 | calculated=4303.3333 | source=34.6000 | difference=4268.7333 | category=version difference
BEL | 2014 | calculated=4610.7143 | source=34.6000 | difference=4576.1143 | category=version difference
BEL | 2015 | calculated=3912.1212 | source=34.6000 | difference=3877.5212 | category=version difference
BEL | 2016 | calculated=3489.1892 | source=34.6000 | difference=3454.5892 | category=version difference
BEL | 2017 | calculated=2934.0909 | source=34.6000 | difference=2899.4909 | category=version difference
BEL | 2018 | calculated=1634.1772 | source=34.6000 | difference=1599.5772 | category=version difference
BEL | 2019 | calculated=1344.7917 | source=34.6000 | difference=1310.1917 | category=version difference
BEL | 2020 | calculated=1304.0404 | source=34.6000 | difference=1269.4404 | category=version difference
BEL | 2021 | calculated=1195.3704 | source=34.6000 | difference=1160.7704 | category=version difference
BEL | 2022 | calculated=1016.5354 | source=34.6000 | difference=981.9354 | category=version difference
BEL | 2023 | calculated=1132.4561 | source=34.6000 | difference=1097.8561 | category=version difference
BEL | 2024 | calculated=1016.5354 | source=34.6000 | difference=981.9354 | category=version difference
BHARTIARTL | 2013 | calculated=20.6043 | source=13.1000 | difference=7.5043 | category=formula discrepancy
BHARTIARTL | 2015 | calculated=19.5784 | source=13.1000 | difference=6.4784 | category=formula discrepancy
BHARTIARTL | 2023 | calculated=7.9448 | source=13.1000 | difference=5.1552 | category=formula discrepancy
BHARTIARTL | 2024 | calculated=8.0879 | source=13.1000 | difference=5.0121 | category=formula discrepancy
BHEL | 2013 | calculated=31.9277 | source=3.2800 | difference=28.6477 | category=version difference
BHEL | 2014 | calculated=28.0345 | source=3.2800 | difference=24.7545 | category=formula discrepancy
BHEL | 2015 | calculated=29.4077 | source=3.2800 | difference=26.1277 | category=version difference
BHEL | 2016 | calculated=32.6354 | source=3.2800 | difference=29.3554 | category=version difference
BHEL | 2017 | calculated=32.6164 | source=3.2800 | difference=29.3364 | category=version difference
BHEL | 2018 | calculated=32.7169 | source=3.2800 | difference=29.4369 | category=version difference
BHEL | 2019 | calculated=31.6847 | source=3.2800 | difference=28.4047 | category=version difference
BHEL | 2020 | calculated=31.4612 | source=3.2800 | difference=28.1812 | category=version difference
BHEL | 2021 | calculated=34.3150 | source=3.2800 | difference=31.0350 | category=version difference
BHEL | 2022 | calculated=33.8748 | source=3.2800 | difference=30.5948 | category=version difference
BHEL | 2023 | calculated=35.5826 | source=3.2800 | difference=32.3026 | category=version difference
BHEL | 2024 | calculated=31.8826 | source=3.2800 | difference=28.6026 | category=version difference
BOSCHLTD | 2012 | calculated=29.6226 | source=20.6000 | difference=9.0226 | category=formula discrepancy
BOSCHLTD | 2013 | calculated=26.5401 | source=20.6000 | difference=5.9401 | category=formula discrepancy
BOSCHLTD | 2023 | calculated=15.5341 | source=20.6000 | difference=5.0659 | category=formula discrepancy
BOSCHLTD | 2024 | calculated=14.2031 | source=20.6000 | difference=6.3969 | category=formula discrepancy
BPCL | 2013 | calculated=16.4243 | source=32.1000 | difference=15.6757 | category=formula discrepancy
BPCL | 2014 | calculated=15.5936 | source=32.1000 | difference=16.5064 | category=formula discrepancy
